chr	gene_name	events
chr2	FBXO11	GAIN
chr2	FEV	GAIN
chr2	HOXD11	GAIN
chr2	HOXD13	GAIN
chr2	IDH1	GAIN
chr2	ITGAV	GAIN
chr2	LRP1B	GAIN
chr2	MSH2	GAIN
chr2	MSH6	GAIN
chr2	MYCN	GAIN
chr2	NCOA1	GAIN
chr2	NFE2L2	GAIN
chr2	PAX3	GAIN
chr2	PAX8	GAIN
chr2	PMS1	GAIN
chr2	RANBP2	GAIN
chr2	REL	GAIN
chr2	RGPD3	GAIN
chr2	SF3B1	GAIN
chr2	SIX2	GAIN
chr2	SOS1	GAIN
chr2	STRN	GAIN
chr2	TMEM127	GAIN
chr2	WDCP	GAIN
chr2	XPO1	GAIN
chr3	ATR	HETD
chr3	BAP1	HETD
chr3	BCL6	HETD
chr3	CACNA1D	HETD
chr3	CBLB	HETD
chr3	CCR4	HETD
chr3	CNBP	HETD
chr3	CTNNB1	HETD
chr3	EIF4A2	HETD
chr3	EPHA3	HETD
chr3	ETV5	HETD
chr3	FANCD2	HETD
chr3	FBLN2	HETD
chr3	FHIT	HETD
chr3	FOXL2	HETD
chr3	FOXP1	HETD
chr3	GATA2	HETD
chr3	GMPS	HETD
chr3	GSK3B	HETD
chr3	IGF2BP2	HETD
chr3	LPP	HETD
chr3	MAP3K13	HETD
chr3	MB21D2	HETD
chr3	MECOM	HETD
chr3	MITF	HETD
chr3	MLF1	HETD
chr3	MLH1	HETD
chr3	MUC4	HETD
chr3	MYD88	HETD
chr3	NCKIPSD	HETD
chr3	PBRM1	HETD
chr3	PIK3CA	HETD
chr3	PIK3CB	HETD
chr3	POLQ	HETD
chr3	PPARG	HETD
chr3	RAF1	HETD
chr3	RHOA	HETD
chr3	ROBO2	HETD
chr3	RPN1	HETD
chr3	SETD2	HETD
chr3	SOX2	HETD
chr3	SRGAP3	HETD
chr3	STAG1	HETD
chr3	TBL1XR1	HETD
chr3	TFG	HETD
chr3	TFRC	HETD
chr3	TGFBR2	HETD
chr3	TP63	HETD
chr3	VHL	HETD
chr3	WWTR1	HETD
chr3	XPC	HETD
chr9	ABL1	AMP
chr9	BRD3	AMP
chr9	CNTRL	AMP
chr9	FANCC	HETD
chr9	FNBP1	AMP,GAIN
chr9	GNAQ	HETD
chr9	KLF4	AMP
chr9	NOTCH1	AMP
chr9	NR4A3	HETD
chr9	NTRK2	HETD
chr9	NUP214	AMP
chr9	OMD	HETD
chr9	PPP6C	AMP
chr9	PTCH1	HETD
chr9	RALGDS	AMP
chr9	RXRA	AMP
chr9	SET	AMP
chr9	SYK	HETD
chr9	TAL2	AMP
chr9	TNC	AMP
chr9	TSC1	AMP
chr9	WNK2	HETD
chr9	XPA	HETD
chrX	AMER1	HETD
chrX	AR	HETD
chrX	ARAF	HETD
chrX	ATP2B3	HETD
chrX	ATRX	HETD
chrX	BCOR	HETD
chrX	BCORL1	HETD
chrX	BTK	HETD
chrX	DCAF12L2	HETD
chrX	DDX3X	HETD
chrX	EIF1AX	HETD
chrX	ELF4	HETD
chrX	FAM47C	HETD
chrX	FOXO4	HETD
chrX	GATA1	HETD
chrX	GPC3	HETD
chrX	IRS4	HETD
chrX	KDM5C	HETD
chrX	KDM6A	HETD
chrX	MED12	HETD
chrX	MSN	HETD
chrX	NONO	HETD
chrX	PHF6	HETD
chrX	RBM10	HETD
chrX	SEPT6	HETD
chrX	SMC1A	HETD
chrX	SSX1	HETD
chrX	SSX2	HETD
chrX	SSX4	HETD
chrX	STAG2	HETD
chrX	TFE3	HETD
chrX	TMSB4X	HETD
chrX	USP9X	HETD
chrX	WAS	HETD
chrX	ZMYM3	HETD
chrX	ZRSR2	HETD
