chr	event	gene_name
chr3	HETD	PIK3CA
chr3	HETD	PIK3CB
chr3	HETD	POLQ
chr3	HETD	PPARG
chr3	HETD	RAF1
chr3	HETD	RHOA
chr3	HETD	ROBO2
chr3	HETD	RPN1
chr3	HETD	SETD2
chr3	HETD	SOX2
chr3	HETD	SRGAP3
chr3	HETD	STAG1
chr3	HETD	TBL1XR1
chr3	HETD	TFG
chr3	HETD	TFRC
chr3	HETD	TGFBR2
chr3	HETD	TP63
chr3	HETD	VHL
chr3	HETD	WWTR1
chr3	HETD	XPC
chr9	AMP	ABL1
chr9	AMP	BRD3
chr9	AMP	CNTRL
chr9	AMP	KLF4
chr9	AMP	NOTCH1
chr9	AMP	NUP214
chr9	AMP	PPP6C
chr9	AMP	RALGDS
chr9	AMP	RXRA
chr9	AMP	SET
chr9	AMP	TAL2
chr9	AMP	TNC
chr9	AMP	TSC1
chr9	HETD	FANCC
chr9	HETD	GNAQ
chr9	HETD	NR4A3
chr9	HETD	NTRK2
chr9	HETD	OMD
chr9	HETD	PTCH1
chr9	HETD	SYK
chr9	HETD	WNK2
chr9	HETD	XPA
chrX	HETD	AMER1
chrX	HETD	AR
chrX	HETD	ARAF
chrX	HETD	ATP2B3
chrX	HETD	ATRX
chrX	HETD	BCOR
chrX	HETD	BCORL1
chrX	HETD	BTK
chrX	HETD	DCAF12L2
chrX	HETD	DDX3X
chrX	HETD	EIF1AX
chrX	HETD	ELF4
chrX	HETD	FAM47C
chrX	HETD	FOXO4
chrX	HETD	GATA1
chrX	HETD	GPC3
chrX	HETD	IRS4
chrX	HETD	KDM5C
chrX	HETD	KDM6A
chrX	HETD	MED12
chrX	HETD	MSN
chrX	HETD	NONO
chrX	HETD	PHF6
chrX	HETD	RBM10
chrX	HETD	SEPT6
chrX	HETD	SMC1A
chrX	HETD	SSX1
chrX	HETD	SSX2
chrX	HETD	SSX4
chrX	HETD	STAG2
chrX	HETD	TFE3
chrX	HETD	TMSB4X
chrX	HETD	USP9X
chrX	HETD	WAS
chrX	HETD	ZMYM3
chrX	HETD	ZRSR2
